File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
22abb978-342f-414e-aedb-c4f2cf19f9c2	363e5da6-0866-46d5-9d3a-f61f1b59e077.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LJ	TCGA-OR-A5LJ-01A	Primary Tumor
93e61a1c-0ea4-4abc-aca6-1a3e3ef385bb	0984499c-19ef-4174-82ce-491a336f8e70.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5L8	TCGA-OR-A5L8-01A	Primary Tumor
0733dd3a-29c9-45ea-bb5f-69bac22911ee	16d289d4-a664-4827-a9e5-3b31de2a16a7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KZ	TCGA-OR-A5KZ-01A	Primary Tumor
cccb7449-7c00-4845-87af-610a14fa016a	97869ee7-7a99-4723-aeaf-5351aaed1bb3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K4	TCGA-OR-A5K4-01A	Primary Tumor
251e5d31-2d8d-4858-9b82-c78548e6987b	dd76dd00-b1e5-4245-8059-6b2966cf257d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JG	TCGA-OR-A5JG-01A	Primary Tumor
a3365732-0ae5-4536-aa3a-5f57447ffffb	2efca6e0-4edb-42a2-9d3a-ee8f25624bf9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LR	TCGA-OR-A5LR-01A	Primary Tumor
ee892a2a-dc85-4442-829b-f237ab6f4305	922f12c9-1df7-4cf5-b874-cc25eb7fd709.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KY	TCGA-OR-A5KY-01A	Primary Tumor
75cd24b7-508c-4bbe-9600-142c0439d32e	d869d50b-7f80-40ef-aeeb-1b0c9919fd17.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LG	TCGA-OR-A5LG-01A	Primary Tumor
54545429-9fdf-4b05-8654-102598daa584	d18e3fad-68c9-4320-9969-3837c2ae8930.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JJ	TCGA-OR-A5JJ-01A	Primary Tumor
c0b116ae-dcb3-48a4-b124-4d5a1144f95d	384c6a99-6bfd-48b3-8a00-da7d2ad767f8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LB	TCGA-OR-A5LB-01A	Primary Tumor
fe16b2d3-17b0-4e24-ab31-62d2e951b3a2	6bacf042-830f-47dd-bac3-5696aebf2574.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J1	TCGA-OR-A5J1-01A	Primary Tumor
74cbb00c-832b-4788-a613-469cd99dffe9	dbfd4261-2413-4571-8211-936eaa34aa19.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JS	TCGA-OR-A5JS-01A	Primary Tumor
5f1520d5-7f26-455b-9d20-87eb3b8fb4de	4a907583-ed82-48fa-8ec7-aff91afcb31b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JI	TCGA-OR-A5JI-01A	Primary Tumor
